STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/1/2021,0,0,0,,71,51,56
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/2/2021,0,0,0,,67,42,51
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/3/2021,0,0,0,,66,41,49
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/4/2021,0,0,0,,66,41,48
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/5/2021,0,0,0,,70,40,52
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/6/2021,0,0,0,,69,40,50
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/7/2021,0,0,0,,60,38,44
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/8/2021,0,0,0,,65,33,44
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/9/2021,0,0,0,,71,41,56
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/10/2021,0,0,0,,70,49,51
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/11/2021,0,0,0,,67,37,45
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/12/2021,0,0,0,,61,37,48
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/13/2021,0,0,0,,66,37,47
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/14/2021,0,0,0,,71,39,48
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/15/2021,0,0,0,,76,40,53
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/16/2021,0,0,0,,90,42,60
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/17/2021,0,0,0,,80,51,54
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/18/2021,0,0,0,,83,48,63
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/19/2021,0,0,0,,69,55,65
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/20/2021,0,0,0,,75,53,58
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/21/2021,0,0,0,,75,44,55
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/22/2021,0,0,0,,75,46,56
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/23/2021,0,0,0,,69,48,49
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/24/2021,0,0,0,,67,46,55
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/25/2021,0.19,0,0,,57,44,44
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/26/2021,0,0,0,,60,40,52
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/27/2021,0,0,0,,60,46,48
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/28/2021,0,0,0,,71,44,66
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/29/2021,0,0,0,,71,51,54
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/30/2021,0,0,0,,68,41,52
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1/31/2021,0,0,0,,68,40,55
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2/1/2021,0,0,0,,73,51,52
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2/2/2021,0,0,0,,74,43,55
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2/3/2021,0,0,0,,76,44,61
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2/4/2021,0,0,0,,72,56,61
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2/5/2021,0,0,0,,76,51,64
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2/6/2021,0,0,0,,80,56,57
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2/7/2021,0,0,0,,78,43,56
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2/8/2021,0,0,0,,74,42,59
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2/9/2021,0,0,0,,73,50,58
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2/10/2021,0,0,0,,81,49,58
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2/11/2021,0,0,0,,74,48,57
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2/12/2021,0,0,0,,83,49,65
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2/13/2021,0,0,0,,78,58,62
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2/14/2021,0,0,0,,74,55,55
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2/15/2021,0,0,0,,75,46,52
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2/16/2021,0,0,0,,78,48,64
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2/17/2021,0,0,0,,71,54,60
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2/18/2021,0,0,0,,70,48,56
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2/19/2021,0,0,0,,74,42,55
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2/20/2021,0,0,0,,76,41,62
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2/21/2021,0,0,0,,76,55,55
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2/22/2021,0,0,0,,81,51,
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2/23/2021,0,0,0,,84,47,64
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2/24/2021,0,0,0,,84,57,
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2/25/2021,0,0,0,,73,51,52
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2/26/2021,0,0,0,,75,38,62
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2/27/2021,0,0,0,,74,57,58
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2/28/2021,0,0,0,,71,49,52
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/1/2021,0,0,0,,73,40,54
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/2/2021,0,0,0,,79,43,60
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/3/2021,0,0,0,,74,43,62
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/4/2021,0,0,0,,78,50,61
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/5/2021,0,0,0,,84,48,61
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/6/2021,0,0,0,,85,49,67
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/7/2021,0,0,0,,79,51,62
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/8/2021,0,0,0,,83,58,66
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/9/2021,0,0,0,,76,56,60
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/10/2021,0,0,0,,71,54,56
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/11/2021,0,0,0,,67,49,53
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/12/2021,0.01,0,0,,68,46,54
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/13/2021,0,0,0,,76,44,56
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/14/2021,0,0,0,,78,44,62
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/15/2021,0.01,0,0,,71,52,52
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/16/2021,0,0,0,,75,50,58
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/17/2021,0,0,0,,77,47,68
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/18/2021,0,0,0,,86,58,68
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/19/2021,0,0,0,,91,55,
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/20/2021,0,0,0,,87,65,65
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/21/2021,0,0,0,,78,59,67
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/22/2021,0,0,0,,80,56,70
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/23/2021,0,0,0,,70,62,63
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/24/2021,0,0,0,,80,56,64
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/25/2021,0,0,0,,82,55,67
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/26/2021,0,0,0,,80,60,69
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/27/2021,0,0,0,,90,64,70
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/28/2021,0,0,0,,91,56,75
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/29/2021,0,0,0,,95,56,78
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/30/2021,0,0,0,,84,65,72
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",3/31/2021,0,0,0,,90,65,71
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/1/2021,0,0,0,,93,55,75
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/2/2021,0,0,0,,98,60,80
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/3/2021,0,0,0,,100,59,78
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/4/2021,0,0,0,,100,65,84
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/5/2021,0,0,0,,100,64,76
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/6/2021,0,0,0,,95,73,80
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/7/2021,0,0,0,,97,63,78
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/8/2021,0,0,0,,97,67,82
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/9/2021,0,0,0,,96,72,83
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/10/2021,0,0,0,,100,66,80
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/11/2021,0,0,0,,101,66,84
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/12/2021,0,0,0,,98,76,81
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/13/2021,0,0,0,,99,74,78
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/14/2021,0,0,0,,86,69,72
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/15/2021,0,0,0,,87,63,69
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/16/2021,0,0,0,,92,63,81
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/17/2021,0,0,0,,91,71,73
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/18/2021,0,0,0,,94,65,77
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/19/2021,0,0,0,,98,60,80
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/20/2021,0,0,0,,100,63,84
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/21/2021,0,0,0,,93,72,77
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/22/2021,0,0,0,,97,65,77
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/23/2021,0,0,0,,96,70,82
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/24/2021,0,0,0,,97,73,81
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/25/2021,0,0,0,,86,71,71
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/26/2021,0.03,0,0,,83,57,58
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/27/2021,0.01,0,0,,84,55,74
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/28/2021,0,0,0,,99,65,84
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/29/2021,0,0,0,,103,74,89
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",4/30/2021,0,0,0,,108,70,91
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/1/2021,0,0,0,,107,86,88
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/2/2021,0,0,0,,100,76,84
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/3/2021,0,0,0,,99,74,88
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/4/2021,0,0,0,,,72,89
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/5/2021,0,0,0,,106,74,92
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/6/2021,0,0,0,,108,84,91
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/7/2021,0,0,0,,106,83,86
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/8/2021,0,0,0,,100,74,87
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/9/2021,0,0,0,,101,76,82
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/10/2021,0,0,0,,101,77,89
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/11/2021,0,0,0,,99,81,84
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/12/2021,0,0,0,,108,75,91
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/13/2021,0,0,0,,111,82,91
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/14/2021,0,0,0,,110,83,90
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/15/2021,0,0,0,,103,82,82
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/16/2021,0,0,0,,93,74,83
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/17/2021,0,0,0,,103,71,89
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/18/2021,0,0,0,,109,79,93
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/19/2021,0,0,0,,107,83,86
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/20/2021,0,0,0,,99,73,73
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/21/2021,0,0,0,,79,64,71
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/22/2021,0,0,0,,85,64,74
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/23/2021,0,0,0,,93,61,78
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/24/2021,0,0,0,,99,72,87
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/25/2021,0,0,0,,106,71,91
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/26/2021,0,0,0,,104,77,86
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/27/2021,0,0,0,,110,81,90
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/28/2021,0,0,0,,108,84,90
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/29/2021,0,0,0,,107,84,93
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/30/2021,0,0,0,,115,80,95
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",5/31/2021,0,0,0,,115,88,99
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/1/2021,0,0,0,,115,82,100
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/2/2021,0,0,0,,118,87,100
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/3/2021,0,0,0,,120,95,103
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/4/2021,0,0,0,,121,97,101
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/5/2021,0,0,0,,119,94,99
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/6/2021,0,0,0,,113,92,96
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/7/2021,0,0,0,,103,85,85
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/8/2021,0,0,0,,104,78,88
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/9/2021,0,0,0,,102,80,81
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/10/2021,0,0,0,,97,70,84
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/11/2021,0,0,0,,105,73,91
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/12/2021,0,0,0,,112,78,96
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/13/2021,0,0,0,,116,83,99
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/14/2021,0,0,0,,118,88,101
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/15/2021,0,0,0,,124,88,105
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/16/2021,0,0,0,,125,91,108
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/17/2021,0,0,0,,128,94,113
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/18/2021,0,0,0,,124,101,107
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/19/2021,0,0,0,,125,97,108
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/20/2021,0,0,0,,124,98,104
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/21/2021,0,0,0,,122,96,105
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/22/2021,0,0,0,,117,94,102
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/23/2021,0,0,0,,108,94,94
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/24/2021,0,0,0,,113,86,96
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/25/2021,0,0,0,,114,89,100
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/26/2021,0,0,0,,122,86,105
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/27/2021,0,0,0,,122,98,106
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/28/2021,0,0,0,,126,95,113
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/29/2021,0,0,0,,121,96,97
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",6/30/2021,0,0,0,,114,93,97
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",7/1/2021,0,0,0,,117,91,102
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",7/2/2021,0,0,0,,119,94,102
